"X10.0","X33.921567940374018","X3.3921567940374016","X1.0240171214227793","X46.390324844850412","X143.66549982358708","X46.570785993910455","X699.82731157467344"
20,42.2424171902513,2.11212085951257,1.01187236472028,45.9370729442597,174.171017541473,50.0647538813143,741.470608510811
30,51.0005224721993,1.70001741573998,1.01644261252068,45.5978503511662,204.841254606499,53.4438657921024,784.067634282396
40,60.2510921289839,1.5062773032246,1.03167071397595,45.5,236.332994716298,56.7547159185776,828.186945236241
50,70.0384278867827,1.40076855773565,1.05341149375627,45.5,268.750686899984,60.0417198799348,873.842313193131
60,80.4009477492598,1.340015795821,1.07941686951679,45.5,301.918195430755,63.3144692472987,920.750087612742
70,91.3755877545006,1.30536553935001,1.10887092885992,45.5,335.8351186077,66.5842767189419,968.918662569599
80,102.999671045206,1.28749588806508,1.14117499682668,45.5,370.519632522249,69.8659526584676,1018.39502930693
90,115.311726090688,1.28124140100765,1.17446083479383,45.5,406.366645835745,73.2523057056909,1069.70940917612
100,128.352541072824,1.28352541072824,1.21011350046643,45.5,443.043996423657,76.6728795907382,1122.47883014162
110,142.165357600731,1.29241234182483,1.24729831031332,45.5,480.762610337842,80.1755471180463,1177.01015372681
120,156.796568094764,1.30663806745637,1.28612220146652,45.5,519.511491691031,83.7601428828036,1233.3357086986
130,172.296216805628,1.32535551388945,1.32646223053917,45.5,559.358437594738,87.4414734445553,1291.59161667747
140,188.718552027586,1.3479896573399,1.3678778203204,45.5,600.514722734287,91.2569029653742,1352.09455727101
150,206.122679386539,1.37415119591026,1.41076403228558,45.5,642.910041888841,95.1942055586824,1414.82107489415
160,224.573282177283,1.40358301360802,1.45510364649205,45.5,686.626506993298,99.2679354019218,1479.94357717039
170,244.141492634281,1.43612642726048,1.50050986681857,45.5,731.936785036744,103.519909488696,1547.87155746985
180,264.905920246762,1.47169955692646,1.54768799690306,45.5,778.642611254131,107.921386414337,1618.45885647268
190,286.953884195092,1.5102836010268,1.59611017253339,45.5,827.131934650075,112.529249529053,1692.27441685721
200,310.382921534736,1.55191460767368,1.64577443906513,45.5,877.595856999394,117.368995209592,1769.66266805225
