Range [km],DOC [$],DOC [$/km],RotorRadius [m],CruiseSpeed [m/s],BatteryMass [kg],MotorMass [kg],MaxTakeOffMass [kg]
10.0,26.518138481682882,2.6518138481682882,2.3655466807654095,56.510171533344398,119.31245101531678,15.45010308052526,416.23095957963125
20.0,32.356133193027688,1.6178066596513843,2.494790906445314,58.855209426068789,154.37612568019981,17.180946424372653,466.42339758685176
30.0,40.330887189174497,1.3443629063058167,2.4977827283631022,49.954510972579584,199.11666295923396,20.712568282251627,530.95159701781881
40.0,48.975624099933199,1.22439060249833,2.6036400401868316,48.925549598311875,247.08711666192949,23.684769291085296,600.14352603540897
50.0,58.073294029402177,1.1614658805880436,2.7372366101519288,50.408916385502245,298.31585740892467,26.569984535217689,674.22172583886629
60.0,54.727877870967141,0.91213129784945235,2.2439214993279557,48.290938105111188,245.86657576433805,22.839132654818286,602.43952334188407
70.0,80.411099605324225,1.1487299943617746,3.0673105217648216,54.170856083138524,425.35595996039456,33.532883752196,858.45752038342835
80.0,66.699746961001537,0.83374683701251917,2.2259348946468336,51.21011398766359,297.03596650943302,25.198334904029526,682.15149425894481
90.0,100.22823370738389,1.1136470411931543,3.0315225877758536,53.379293254337995,513.08033302270144,38.443061418161236,989.92229929872838
100.0,105.45161259933994,1.0545161259933995,2.8906199547520819,54.01733020040691,525.47602807880889,38.700488799902594,1013.0438740506128
110.0,128.44315666721931,1.1676650606110848,3.1897133420097492,54.999341504629896,652.24332901118044,45.926271556741575,1198.0306706218553
120.0,184.94880756704498,1.5412400630587082,4.1617313168664216,56.936524198577665,976.96249078304504,64.260926646559113,1666.3645436338281
130.0,212.67638914220285,1.6359722241707912,4.3578020996571967,57.773284567939967,1114.4506467612327,71.454900798343175,1870.9458055503376
140.0,235.91963261494385,1.6851402329638847,4.7707583696449412,59.473973011525786,1195.55725845144,72.379236803836363,2003.5658102841637
150.0,263.46140654437937,1.7564093769625291,4.9607669801228012,59.608382123900221,1304.2501104574185,76.765829285757519,2174.6415891981173
160.0,105.75366979504356,0.66096043621902234,2.8908812018299002,53.009449457698274,299.20530320485869,14.96128048672796,791.78895795643837
170.0,21.11708078829961,0.12421812228411537,1.2256998917930166,32.890361540452673,-252.48595414533588,-14.767602858263382,74.498857961881598
